subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top6,only_powertrain,family_only,12,3,0.46946564885496184,0.4706659619450317,0.4590520739243135,0.47692307692307695,0.47575757575757577,0.47266409918583835,-0.007457428068115113,-0.01361202526152483
distinctive_top6,only_powertrain,family_only,12,4,0.4770992366412214,0.4772727272727273,0.46307408205783185,0.4307692307692308,0.4348484848484848,0.4230526529153531,0.0463300058719906,0.04002142914247875
distinctive_top6,only_powertrain,family_only,12,5,0.5038167938931297,0.5050211416490487,0.49209505315128416,0.38461538461538464,0.38484848484848483,0.36709120187381056,0.11920140927774509,0.1250038512774736
distinctive_top6,only_phase,family_only,4,1,0.1839080459770115,0.18507751937984496,0.13220254126372466,0.18181818181818182,0.1818181818181818,0.12366115919223708,0.0020898641588296685,0.00854138207148758
distinctive_top6,only_phase,family_only,4,2,0.18773946360153257,0.18833685694150812,0.14805873216189805,0.15151515151515152,0.15151515151515152,0.1138532321141017,0.03622431208638105,0.03420550004779635
distinctive_top6,only_phase,family_only,4,3,0.20229007633587787,0.20304792107117686,0.16973162466120215,0.18461538461538463,0.18333333333333335,0.11011904761904762,0.01767469172049324,0.05961257704215453
distinctive_top6,only_phase,family_only,4,4,0.1946564885496183,0.1945912614517266,0.15741914025162107,0.16923076923076924,0.17575757575757575,0.11065217391304348,0.02542571931884907,0.04676696633857759
distinctive_top6,only_phase,family_only,4,5,0.18702290076335878,0.18816067653276955,0.15626110687991876,0.16923076923076924,0.16666666666666666,0.12173160173160173,0.017792131532589545,0.03452950514831703
distinctive_top6,only_dynamics,family_only,15,1,0.6360153256704981,0.6360993657505286,0.6372176618382497,0.5,0.5,0.4802803535207187,0.13601532567049812,0.156937308317531
distinctive_top6,only_dynamics,family_only,15,2,0.6130268199233716,0.6131959126145173,0.6137522697611258,0.5303030303030303,0.5303030303030303,0.5304540996760676,0.08272378962034133,0.08329817008505824
distinctive_top6,only_dynamics,family_only,15,3,0.6374045801526718,0.6373326286116984,0.639611640749054,0.5230769230769231,0.5196969696969697,0.5267961994235081,0.11432765707574866,0.11281544132554588
distinctive_top6,only_dynamics,family_only,15,4,0.6297709923664122,0.6302854122621565,0.6339429291180778,0.49230769230769234,0.4924242424242424,0.4808095575639435,0.13746330005871987,0.1531333715541343
distinctive_top6,only_dynamics,family_only,15,5,0.583969465648855,0.5840380549682876,0.5887020785544145,0.6153846153846154,0.6136363636363636,0.6074187250657839,-0.03141514973576043,-0.018716646511369395
